"classe", "representacao_grafica",
"TRA_Trecho_Ferroviario_L", "ferrovia",
"FER_Trecho_Ferroviario_L", "ferrovia",
"EDF_Edif_Metro_Ferroviaria_P", "ferrovia",
"TRA_Trecho_Rodoviario_L", "rodovia",
"ROD_Trecho_Rodoviario", "rodovia",
"EDF_Edif_Rodoviaria_P", "rodovia",
"TRA_Arruamento_L", "arruamento",
"TRA_Caminho_Carrocavel_L", "caminho_carrocavel",
"TRA_Passagem_Elevada_Viaduto_L", "viaduto",
"TRA_Passagem_Elevada_Viaduto_P", "viaduto",
"TRA_Ponte_L", "ponte",
"TRA_Ponte_P", "ponte_pedestre",
"TRA_Travessia_Pedestre_P", "ponte_pedestre",
"TRA_Tunel_L", "tunnel",
"TRA_Tunel_P", "tunnel",
"HID_Trecho_Drenagem_L", "drenagem",
"HID_Massa_Dagua_A", "corpo_dagua",
"HID_Barragem_L", "corpo_dagua",
"HID_Sumidouro_Vertedouro_P", "corpo_dagua",
"LOC_Area_Edificada_A", "edificacao",
"EDF_Edificacao_A", "edificacao",
"EDF_Edif_Constr_Lazer_P", "edificacao",
"EDF_Edif_Constr_Turistica_P", "edificacao",
"EDF_Edif_Ensino_A", "edificacao",
"EDF_Edif_Ensino_P", "edificacao",
"EDF_Edif_Industrial_A", "edificacao",
"EDF_Edif_Industrial_P", "edificacao",
"EDF_Edif_Policia_P", "edificacao",
"EDF_Edif_Pub_Civil_P", "edificacao",
"EDF_Edif_Pub_Militar_P", "edificacao",
"EDF_Edif_Religiosa_P", "edificacao",
"EDF_Edif_Agropec_Ext_Vegetal_Pesca_A", "edificacao",
"EDF_Edif_Agropec_Ext_Vegetal_Pesca_P", "edificacao",
"EDF_Edif_Energia_P", "edificacao",
"EDF_Edif_Saude_P", "edificacao",
"EDF_Edif_Saneamento_P", "saneamento",
"EDF_Edif_Aeroporto_P", "aeroporto",
"EDF_Edif_Rodoviaria_P", "rodovia",  
"LOC_Nome_Local_P", "limite",
"LML_Area_Desamente_Edificada_A", "limite",
"LML_Nome_Local_P", "limite",
"LML_Posic_Geo_Localidade_P", "limite",
"LML_Unidade_Federacao_A", "limite",
"VEG_Campo_A", "vegetacao",
"VEG_Floresta_A", "vegetacao",
"VEG_Veg_Cultivada_A", "vegetacao",
"LAZ_Campo_Quadra_A", "vegetacao",
"LAZ_Campo_Quadra_P", "vegetacao",
"ENC_Trecho_Energia_L", "energia",
"ENC_Subest_Transm_Distrib_Energia_Eletrica_A", "energia",
"ENC_Torre_Comunic_P", "energia",
"ENC_Torre_Energia_P", "energia",
"REL_Curva_Nivel_L", "relevo",
"REL_Elemento_Fisiografica_Natural_L", "relevo",
"REL_Ponto_Cotado_Altimetrico_P", "relevo",
"EDF_Edif_Desenv_Social_P", "edificacao",
"EDF_Edif_Metro_Ferroviaria_P", "ferrovia",  
"HID_Massa_Dagua_A", "corpo_dagua",
"HID_Trecho_Drenagem_L", "drenagem",
"LOC_Area_Edificada_A", "edificacao",
"LOC_Nome_Local_P", "limite",
"TRA_Arruamento_L", "rodovia",
"TRA_Ponte_L", "ponte",
"TRA_Trecho_Ferroviario_L", "ferrovia",
"TRA_Trecho_Rodoviario_L", "rodovia",
"VEG_Campo_A", "vegetacao",
"VEG_Floresta_A", "vegetacao",
"CBGE_Area_Duto_A", "outros",
"CBGE_Cemiterio_A", "outros",
"CBGE_Cemiterio_P", "outros",
"CBGE__Trecho_Arruamento_L", "rodovia",
"EDF_Edif_Abast_Agua_P", "saneamento",
"EDF_Edif_Agropec_Ext_Vegetal_Pesca_A", "edificacao",
"EDF_Edif_Agropec_Ext_Vegetal_Pesca_P", "edificacao",
"EDF_Edif_Constr_Lazer_P", "edificacao",
"EDF_Edif_Constr_Turistica_P", "edificacao",
"EDF_Edif_Desenv_Social_P", "edificacao",
"EDF_Edif_Energia_P", "energia",
"EDF_Edif_Ensino_A", "edificacao",
"EDF_Edif_Ensino_P", "edificacao",
"EDF_Edif_Industrial_A", "edificacao",
"EDF_Edif_Industrial_P", "edificacao",
"EDF_Edif_Metro_Ferroviaria_P", "ferrovia",
"EDF_Edif_Policia_P", "edificacao",
"EDF_Edif_Pub_Civil_P", "edificacao",
"EDF_Edif_Pub_Militar_P", "edificacao",
"EDF_Edif_Religiosa_P", "edificacao",
"EDF_Edif_Rodoviaria_P", "rodovia",
"EDF_Edif_Saneamento_P", "saneamento",
"EDF_Edif_Saude_P", "edificacao",
"EDF_Edificacao_A", "edificacao",
"EDF_Edificacao_P", "edificacao",
"ENC_Subest_Transm_Distrib_Energia_Eletrica_A", "energia",
"ENC_Torre_Comunic_P", "energia",
"ENC_Torre_Energia_P", "energia",
"ENC_Trecho_Energia_L", "energia",
"FER_Trecho_Ferroviario_L", "ferrovia",
"HID_Barragem_L", "corpo_dagua",
"HID_Sumidouro_Vertedouro_P", "corpo_dagua",
"LAZ_Campo_Quadra_A", "vegetacao",
"LAZ_Campo_Quadra_P", "vegetacao",
"LML_Area_Desamente_Edificada_A", "edificacao",
"LML_Nome_Local_P", "limite",
"LML_Posic_Geo_Localidade_P", "limite",
"LML_Unidade_Federacao_A", "limite",
"REL_Curva_Nivel_L", "outros",
"REL_Elemento_Fisiografica_Natural_L", "outros",
"REL_Ponto_Cotado_Altimetrico_P", "outros",
"ROD_Trecho_Rodoviario", "rodovia",
"TRA_Caminho_Carrocavel_L", "rodovia",
"TRA_Passagem_Elevada_Viaduto_L", "ponte",
"TRA_Passagem_Elevada_Viaduto_P", "ponte",
"TRA_Ponte_P", "ponte",
"TRA_Travessia_Pedestre_P", "ponte",
"TRA_Tunel_L", "rodovia",
"TRA_Tunel_P", "rodovia",
"VEG_Veg_Cultivada_A", "vegetacao",
